,product_id,product_name,discounted_price,actual_price,rating,rating_count,main category,sub category,discount_percentage %,quality of product
0,B07JW9H4J1,"Wayona Nylon Braided USB to Lightning Fast Charging and Data Sync Cable Compatible for iPhone 13, 12,11, X, 8, 7, 6, 5, iPad Air, Pro, Mini (3 FT Pack of 1, Grey)",399.0,1099.0,4.2,24269.0,Computers&Accessories,Cables,64.0,excellent
2,B096MSW6CT,"Sounce Fast Phone Charging Cable & Data Sync USB Cable Compatible for iPhone 13, 12,11, X, 8, 7, 6, 5, iPad Air, Pro, Mini & iOS Devices",199.0,1899.0,3.9,7928.0,Computers&Accessories,Cables,90.0,very good
4,B08CF3B7N1,"Portronics Konnect L 1.2M Fast Charging 3A 8 Pin USB Cable with Charge & Sync Function for iPhone, iPad (Grey)",154.0,399.0,4.2,16905.0,Computers&Accessories,Cables,61.0,excellent
5,B08Y1TFSP6,"pTron Solero TB301 3A Type-C Data and Fast Charging Cable, Made in India, 480Mbps Data Sync, Strong and Durable 1.5-Meter Nylon Braided USB Cable for Type-C Devices for Charging Adapter (Black)",149.0,1000.0,3.9,24871.0,Computers&Accessories,Cables,85.0,very good
6,B08WRWPM22,"boAt Micro USB 55 Tangle-free, Sturdy Micro USB Cable with 3A Fast Charging & 480mbps Data Transmission (Black)",176.63,499.0,4.1,15188.0,Computers&Accessories,Cables,65.0,excellent
7,B08DDRGWTJ,MI Usb Type-C Cable Smartphone (Black),229.0,299.0,4.3,30411.0,Computers&Accessories,Cables,23.0,excellent
10,B08CF3D7QR,Portronics Konnect L POR-1081 Fast Charging 3A Type-C Cable 1.2Meter with Charge & Sync Function for All Type-C Devices (Grey),154.0,339.0,4.3,13391.0,Computers&Accessories,Cables,55.0,excellent
13,B085DTN6R2,"Portronics Konnect CL 20W POR-1067 Type-C to 8 Pin USB 1.2M Cable with Power Delivery & 3A Quick Charge Support, Nylon Braided for All Type-C and 8 Pin Devices, Green",350.0,899.0,4.2,2262.0,Computers&Accessories,Cables,61.0,excellent
14,B09KLVMZ3B,Portronics Konnect L 1.2M POR-1401 Fast Charging 3A 8 Pin USB Cable with Charge & Sync Function (White),159.0,399.0,4.1,4768.0,Computers&Accessories,Cables,60.0,excellent
15,B083342NKJ,MI Braided USB Type-C Cable for Charging Adapter (Red),349.0,399.0,4.4,18757.0,Computers&Accessories,Cables,13.0,excellent
18,B08WRBG3XW,"boAt Type C A325 Tangle-free, Sturdy Type C Cable with 3A Rapid Charging & 480mbps Data Transmission(Black)",199.0,499.0,4.1,13045.0,Computers&Accessories,Cables,60.0,excellent
